country,round,year,month,group,grouplabel,obs,obs_ipt,obs_icu,obs_vac,obs_spcm,obs_test,obs_pcr,ybed,ybed_icu,ybed_cap_covid,ybed_cap_covid_severe,ybed_cap_covid_critical,ybed_covid_night,ybed_covid_month,ybed_cap_isolation,ybed_cap_respiso_o2,ybed_convert_respiso,ybed_convert_icu,ximst,ximst_fun,xipt,xicu,xocc_lastnight,xocc_lastnight_covid,xocc_lastmonth_covid,xcovid_occ_lastnight,xcovid_occ_lastmonth,xstaffsupport,xnrshift__day,xnrshift__night,xstaff_test_none,xstaff_test_2wk,xstaff_test_symp,xstaff_test_exp,xdrug_score,xdrug_100,xdrug_50,xsupp_score,xsupp_100,xsupp_50,xdrug__001,xdrug__002,xdrug__003,xdrug__004,xdrug__005,xdrug__006,xdrug__007,xdrug__008,xdrug__009,xdrug__010,xsupply__001,xsupply__002,xsupply__003,xsupply__004,xsupply__005,xppe,xppe_allsome__001,xppe_allsome__002,xppe_allsome__003,xppe_allsome__004,xppe_allsome__005,xppe_allsome__006,xppe_allsome_score,xppe_allsome_100,xppe_allsome_50,xppe_all__001,xppe_all__002,xppe_all__003,xppe_all__004,xppe_all__005,xppe_all__006,xppe_all_score,xppe_all_100,xppe_all_50,xipcitem__001,xipcitem__002,xipcitem__003,xipcitem__004,xipcitem__005,xipcitem__006,xipcitem_score,xipcitem_100,xipcitem_50,xspcm,xspcmitem__001,xspcmitem__002,xspcmitem_score,xspcmitem_100,xspcmitem_50,xtest,xtesttransport,xtesttime_1,xtesttime_2,xtesttime_3,xpcr,xpcr_capacity,xpcr_equip,xdiagcovid_score,xdiagcovid_100,xdiagcovid_50,xequip_anyfunction__001,xequip_anyfunction__002,xequip_anyfunction__003,xequip_anyfunction__004,xequip_anyfunction_score,xequip_anyfunction_100,xequip_anyfunction_50,xequip_allfunction__001,xequip_allfunction__002,xequip_allfunction__003,xequip_allfunction__004,xequip_allfunction_score,xequip_allfunction_100,xequip_allfunction_50,xequip_anymalfunction,xequip_malfunction_reason__001,xequip_malfunction_reason__002,xequip_malfunction_reason__003,xequip_malfunction_reason__004,xequip_malfunction_reason__005,xoxygen_concentrator,xoxygen_bulk,xoxygen_cylinder,xoxygen_plant,xoxygensource,xoxygen_dist,xoxygen_dist__er,xoxygen_dist__icu,xoxygen_dist__iso,xoxygen_dist_all,xoxygen_dist_any,xoxygen_portcylinder,xo2__cannula,xo2__mask,xo2__humidifier,xo2__flowmeter,xo2supp_score,xo2supp_100,xo2supp_50,xvac,xvac_av_fridge,xvac_avfun_fridge,xvac_avfun_fridgetemp,xvac_av_coldbox,xvac_avfun_coldbox_all,xvac_avfun_coldbox_all_full,xvac_av_carrier,xvac_avfun_carrier_all,xvac_avfun_carrier_all_full,xvac_av_outreach,xvac_avfun_outreach_all_full,xvac_sharp,ypt_homecare,yequip_ventilator,yequip_noninvventilator,yvac_avfun_coldbox_all,yvac_avfun_coldbox_all_full,yvac_avfun_carrier_all,yvac_avfun_carrier_all_full,updatedate,updatetime
Kenya,1,2020,12,County and Facility level,Kitui-Level4,1,1,0,1,1,1,0,30,0,30,3,0,0,3,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Kwale,1,1,1,1,1,1,0,157,6,78,75,3,7.5,10,78,20,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Kwale-Level5,1,1,1,1,1,1,0,157,6,78,75,3,7.5,10,78,20,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Laikipia,1,1,0,1,0,1,0,10,0,2,2,0,0,1,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Laikipia-Level4,1,1,0,1,0,1,0,10,0,2,2,0,0,1,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Lamu,1,1,0,1,1,1,0,68,0,14,4,0,.5,10,14,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Lamu-Level4,1,1,0,1,1,1,0,68,0,14,4,0,.5,10,14,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,Level,Level 2-4,46,46,16,42,41,43,3,5418,113,1613,718,82,89,455,1412,810,914,46,80,72,100,35,14,2,9,7,31,70,9,11,3,34,53,38,73,15,87,97,85,100,74,96,41,87,48,48,80,67,85,100,100,100,98,89,98,100,96,98,98,93,93,98,96,89,98,41,76,35,33,22,93,50,17,48,93,96,96,52,93,96,88,50,96,89,83,85,84,83,85,93,83,16,35,60,7,1,100,73,52,93,70,93,52,35,63,24,85,57,83,48,28,54,17,74,7,67,0,0,0,0,70,26,96,22,100,48,30,35,30,17,48,89,91,93,89,89,91,17,74,91,100,100,100,86,81,57,95,83,64,100,67,100,26,128,43,168,138,271,218,21Dec2020,14:25:07
Kenya,1,2020,12,Level,Level 5-6,26,25,22,25,23,18,8,10400,375,1941,1581,316,229,356,1709,1287,1135,220,100,88,96,85,37,3,5,16,34,92,9,11,8,33,71,38,85,38,100,97,85,100,88,100,58,88,58,77,100,92,96,96,100,100,100,88,96,100,100,100,96,96,96,100,98,96,100,54,92,46,46,46,96,63,35,62,100,100,100,77,96,100,96,77,100,88,88,88,88,88,88,69,58,11,22,39,31,0,100,73,50,96,100,100,88,81,92,73,100,77,96,69,73,79,50,92,19,60,20,0,0,20,77,58,88,69,100,88,69,81,73,58,88,92,100,100,92,96,97,50,92,96,96,96,96,96,96,88,96,96,88,100,92,100,73,348,261,219,217,244,232,21Dec2020,14:25:07
Kenya,1,2020,12,County,Machakos,2,2,1,2,2,1,1,676,21,226,206,12,0,21,226,16,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Machakos-Level4,1,1,0,1,1,1,0,176,0,14,6,0,0,14,14,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Machakos-Level5,1,1,1,1,1,0,1,500,21,212,200,12,0,7,212,10,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Makueni,1,1,1,1,1,1,0,357,6,12,12,2,0,6,12,12,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County and Facility level,Makueni-Level5,1,1,1,1,1,1,0,357,6,12,12,2,0,6,12,12,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
Kenya,1,2020,12,County,Mandera,1,1,1,1,1,0,1,160,10,72,68,5,1,2,68,68,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21Dec2020,14:25:07
